title,adress,distance,star,price,website,begin_date,begin_hour,end_date,end_hour,duration,district
Parking Public SAEMES PYRAMIDES (Couvert),15 Rue des Pyramides.75001 Paris,3 min (194 m),5,4.30 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Immeuble  223 RUE SAINT HONORÉ (Couvert),223 Rue Saint Honoré.75001 Paris,3 min (224 m),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public SAEMES MEYERBEER - OPÉRA (Couvert),3 rue de la Chaussée dAntin .75009  Paris,13 min (848 m),5,4.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public INDIGO LOUVRE SAMARITAINE (Couvert),1 Place du Louvre .75001 Paris,13 min (892 m),5,8.80 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public SAEMES MADELEINE TRONCHET (Couvert),21 place de la Madeleine.75008 Paris,4 min (924 m),5,4.30 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Immeuble RUE DES ITALIENS (Couvert),7 rue des Italiens.75009 Paris,15 min (966 m),5,4.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Immeuble RUE FAVART (Couvert),18 Rue Favart.75002 Paris,15 min (978 m),5,6.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public SAEMES LES HALLES - SAINT-EUSTACHE (Couvert),22 rue des Halles.75001 Paris,18 min (1.2 km),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Officiel FORUM DES HALLES (Couvert),Rue de Turbigo.75001 Paris,19 min (1.2 km),5,4.10 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public BERGER-LES HALLES (Couvert),Face au 12 rue de Turbigo ou 21 Rue des Halles.75001 PARIS,19 min (1.3 km),5,3.60 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public SENTIER 41 (Couvert),41 Rue du Sentier.75002  Paris,20 min (1.3 km),5,2.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public URBIS PARK MARCHÉ SAINT-GERMAIN (Couvert),10 rue Clément.75006 Paris,20 min (1.3 km),5,4.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Immeuble SAEMES MARCHÉ SAINT-GERMAIN (Couvert),Face au 1 rue Lobineau .75006 Paris,21 min (1.4 km),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public CENTRE COMMERCIAL SAINT-LAZARE (Couvert),20 rue de rome.75008 Paris,22 min (1.4 km),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Officiel EFFIA GARE SAINT-LAZARE (Couvert),29 Rue de Londres.75009 Paris,22 min (1.5 km),5,3.57 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public SAEMES RIVOLI SEBASTOPOL (Couvert),5 rue pernelle.75004 Paris,22 min (1.5 km),5,4.40 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public SAEMES HÔTEL DE VILLE (Couvert),6 quai de gesvres .75004  Paris,24 min (1.6 km),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public URBIS PARK PIGALLE THÉÂTRES (Couvert),10-12 rue Jean-Baptiste Pigalle.75009 Paris,24 min (1.6 km),5,4.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public SAEMES ÉCOLE DE MÉDECINE (Couvert),21 rue Ecole de Médecine.75006 Paris,24 min (1.6 km),5,4.30 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public BEPARK CHAMPS-ELYSÉES (Couvert),5 Impasse dAntin.75008 Paris,25 min (1.6 km),5,31.50 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public PARC POMPIDOU (Couvert),41-47 Rue Rambuteau.75004 Paris,25 min (1.7 km),5,8.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public EFFIA FRANKLIN-D. ROOSEVELT CHAMPS-ELYSÉES (Couvert),45/47 Avenue Franklin Roosevelt.75008 PARIS,25 min (1.7 km),5,4.70 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Immeuble SAEMES CHAMPAGNY (Couvert),13 rue Casimir Perrier .75007  Paris,25 min (1.7 km),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public GARAGE DE LA PLACE SAINT-GEORGES (Couvert),20 Rue Clauzel .75009 Paris,27 min (1.8 km),5,4.50 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Immeuble SAEMES MAYRAN (Couvert),5 rue Mayran (Laccès à la rue Mayran se fait uniquement par la rue de Rochechouart).75009  Paris,27 min (1.8 km),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public SAEMES LAGRANGE-MAUBERT (Couvert),19 rue Lagrange.75005 Paris,10 min (2 km),5,4.30 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public BAUDOYER (Couvert),4 Place Baudoyer.75004 Paris,30 min (2 km),5,4.40 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public CLARIDGE (Couvert),60 Rue de Ponthieu.75008 Paris,31 min (2.1 km),5,2.30 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public GARAGE DABBEVILLE (Couvert),5 Rue dAbbeville.75010 Paris,32 min (2.1 km),5,8.00 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public SAEMES MAUBERT COLLÈGE DES BERNARDINS (Couvert),37 Boulevard St Germain.75005 Paris,33 min (2.2 km),5,4.30 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Officiel EFFIA GARE DE LEST ALSACE P1 (Couvert),Rue du 8 mai 1945.75010 PARIS,36 min (2.4 km),5,4.40 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Officiel EFFIA GARE DU NORD (Couvert),4 rue de Compiègne.75010 PARIS,36 min (2.4 km),5,4.40 ,onepark,2021-01-12,9,2021-01-12,10,1,1
Parking Public SENTIER 41 (Couvert),41 Rue du Sentier.75002  Paris,5 min (358 m),5,2.00 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Public BERGER-LES HALLES (Couvert),Face au 12 rue de Turbigo ou 21 Rue des Halles.75001 PARIS,8 min (538 m),5,3.60 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Officiel FORUM DES HALLES (Couvert),Rue de Turbigo.75001 Paris,8 min (543 m),5,4.10 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Immeuble RUE FAVART (Couvert),18 Rue Favart.75002 Paris,9 min (595 m),5,6.00 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Immeuble RUE DES ITALIENS (Couvert),7 rue des Italiens.75009 Paris,12 min (769 m),5,4.00 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Public SAEMES MEYERBEER - OPÉRA (Couvert),3 rue de la Chaussée dAntin .75009  Paris,13 min (843 m),5,4.00 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Public SAEMES LES HALLES - SAINT-EUSTACHE (Couvert),22 rue des Halles.75001 Paris,13 min (844 m),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Public SAEMES PYRAMIDES (Couvert),15 Rue des Pyramides.75001 Paris,13 min (846 m),5,4.30 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Public INDIGO LOUVRE SAMARITAINE (Couvert),1 Place du Louvre .75001 Paris,14 min (965 m),5,8.80 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Public PARC POMPIDOU (Couvert),41-47 Rue Rambuteau.75004 Paris,15 min (988 m),5,8.00 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Immeuble  223 RUE SAINT HONORÉ (Couvert),223 Rue Saint Honoré.75001 Paris,3 min (1.1 km),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Immeuble SAEMES MAYRAN (Couvert),5 rue Mayran (Laccès à la rue Mayran se fait uniquement par la rue de Rochechouart).75009  Paris,16 min (1.1 km),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Public SAEMES RIVOLI SEBASTOPOL (Couvert),5 rue pernelle.75004 Paris,16 min (1.1 km),5,4.40 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Hôtel RENAISSANCE PARIS RÉPUBLIQUE (Couvert),40 rue René Boulanger.75010 Paris,19 min (1.2 km),5,6.50 ,onepark,2021-01-12,9,2021-01-12,10,1,2
Parking Public SAEMES HÔTEL DE VILLE (Couvert),6 quai de gesvres .75004  Paris,19 min (1.3 km),5,3.00 ,onepark,2021-01-12,9,2021-01-12,10,1,2
