title,park_height,distance,service,star,price,website,begin_date,begin_hour,end_date,end_hour,duration,district
SAEMES Pyramides, Couvert  (1.9m) ,3 min (196m) ,3,4,4.30,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO Louvre, Couvert  (1.9m) ,5 min (296m) ,3,0,3.50,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO Marché Saint-Honoré, Couvert  (2m) ,6 min (364m) ,3,0,3.36,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO - Vendôme, Couvert  (1.9m) ,7 min (425m) ,3,0,3.36,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO Croix des Petits Champs, Couvert  (1.9m) ,11 min (644m) ,3,0,3.22,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO Place de la Concorde, Couvert  (1.9m) ,14 min (843m) ,3,0,3.08,parclick,2021-01-12,9,2021-01-12,10,1,1
SAEMES Opéra-Meyerbeer, Couvert  (1.9m) ,14 min (846m) ,3,4,4,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO - Louvre Samaritaine, Couvert  (1.9m) ,14 min (857m) ,4,4,3.08,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO Bac Montalembert, Couvert  (1.9m) ,15 min (881m) ,3,0,3.22,parclick,2021-01-12,9,2021-01-12,10,1,1
SAEMES Madeleine-Tronchet, Couvert  (1.9m) ,15 min (894m) ,3,0,4.30,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO Bourse, Couvert  (1.9m) ,16 min (944m) ,3,0,3.36,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO - Haussmann Galeries Lafayette, Couvert  (1.9m) ,17 min (1.0km) ,3,4,,parclick,2021-01-12,9,2021-01-12,10,1,1
SAEMES Les Halles - Saint-Eustache, Couvert  (1.85m) ,18 min (1.1km) ,3,4,3,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO Saint-Germain des Prés, Couvert  (1.9m) ,19 min (1.1km) ,3,0,3.36,parclick,2021-01-12,9,2021-01-12,10,1,1
Forum des Halles - Berger, Couvert  (1.9m) ,20 min (1.2km) ,4,4,3.60,parclick,2021-01-12,9,2021-01-12,10,1,1
Forum des Halles-Rambuteau, Couvert  (1.9m) ,21 min (1.2km) ,4,4,4.10,parclick,2021-01-12,9,2021-01-12,10,1,1
Sentier 41, Couvert  (1.9m) ,22 min (1.3km) ,2,3,2,parclick,2021-01-12,9,2021-01-12,10,1,1
URBIS PARK Marché Saint-Germain, Couvert  (1.9m) ,22 min (1.3km) ,4,4,,parclick,2021-01-12,9,2021-01-12,10,1,1
SAEMES Rivoli-Sébastopol, Couvert  (1.85m) ,25 min (1.5km) ,2,4,4.40,parclick,2021-01-12,9,2021-01-12,10,1,1
SAEMES Bergson, Couvert  (0.02m) ,25 min (1.5km) ,3,0,4.30,parclick,2021-01-12,9,2021-01-12,10,1,1
INDIGO Bourse, Couvert  (1.9m) ,5 min (328m) ,3,0,3.36,parclick,2021-01-12,9,2021-01-12,10,1,2
Sentier 41, Couvert  (1.9m) ,6 min (366m) ,2,3,2,parclick,2021-01-12,9,2021-01-12,10,1,2
INDIGO Réaumur Saint-Denis, Couvert  (2m) ,8 min (482m) ,3,0,3.08,parclick,2021-01-12,9,2021-01-12,10,1,2
Forum des Halles-Rambuteau, Couvert  (1.9m) ,9 min (531m) ,4,4,4.10,parclick,2021-01-12,9,2021-01-12,10,1,2
Forum des Halles - Berger, Couvert  (1.9m) ,9 min (540m) ,4,4,3.60,parclick,2021-01-12,9,2021-01-12,10,1,2
INDIGO Turbigo Saint-Denis, Couvert  (1.95m) ,9 min (549m) ,3,0,3.08,parclick,2021-01-12,9,2021-01-12,10,1,2
