parking_id,title,adress,star,parking_height,service,district
1,SAEMES PYRAMIDES,15 Rue des Pyramides.75001 Paris,4, Couvert  (1.9m) ,3,1
2,IMMEUBLE  223 RUE SAINT HONORÉ,223 Rue Saint Honoré.75001 Paris,,,,1
3,SAEMES MEYERBEER - OPÉRA,3 rue de la Chaussée dAntin .75009  Paris,,,,1
4,INDIGO LOUVRE SAMARITAINE,1 Place du Louvre .75001 Paris,4, Couvert  (1.9m) ,4,1
5,SAEMES MADELEINE TRONCHET,21 place de la Madeleine.75008 Paris,0, Couvert  (1.9m) ,3,1
6,IMMEUBLE RUE DES ITALIENS,7 rue des Italiens.75009 Paris,,,,1
7,IMMEUBLE RUE FAVART,18 Rue Favart.75002 Paris,,,,1
8,SAEMES LES HALLES - SAINT-EUSTACHE,22 rue des Halles.75001 Paris,4, Couvert  (1.85m) ,3,1
9,OFFICIEL FORUM DES HALLES,Rue de Turbigo.75001 Paris,,,,1
10,BERGER-LES HALLES,Face au 12 rue de Turbigo ou 21 Rue des Halles.75001 PARIS,,,,1
11,SENTIER 41,41 Rue du Sentier.75002  Paris,3, Couvert  (1.9m) ,2,1
12,URBIS PARK MARCHÉ SAINT-GERMAIN,10 rue Clément.75006 Paris,4, Couvert  (1.9m) ,4,1
13,IMMEUBLE SAEMES MARCHÉ SAINT-GERMAIN,Face au 1 rue Lobineau .75006 Paris,,,,1
14,CENTRE COMMERCIAL SAINT-LAZARE,20 rue de rome.75008 Paris,,,,1
15,OFFICIEL EFFIA GARE SAINT-LAZARE,29 Rue de Londres.75009 Paris,,,,1
16,SAEMES RIVOLI SEBASTOPOL,5 rue pernelle.75004 Paris,4, Couvert  (1.85m) ,2,1
17,SAEMES HÔTEL DE VILLE,6 quai de gesvres .75004  Paris,,,,1
18,URBIS PARK PIGALLE THÉÂTRES,10-12 rue Jean-Baptiste Pigalle.75009 Paris,,,,1
19,SAEMES ÉCOLE DE MÉDECINE,21 rue Ecole de Médecine.75006 Paris,5, Couvert  (1.9m) ,3,1
20,BEPARK CHAMPS-ELYSÉES,5 Impasse dAntin.75008 Paris,,,,1
21,PARC POMPIDOU,41-47 Rue Rambuteau.75004 Paris,,,,1
22,EFFIA FRANKLIN-D. ROOSEVELT CHAMPS-ELYSÉES,45/47 Avenue Franklin Roosevelt.75008 PARIS,,,,1
23,IMMEUBLE SAEMES CHAMPAGNY,13 rue Casimir Perrier .75007  Paris,,,,1
24,GARAGE DE LA PLACE SAINT-GEORGES,20 Rue Clauzel .75009 Paris,,,,1
25,IMMEUBLE SAEMES MAYRAN,5 rue Mayran (Laccès à la rue Mayran se fait uniquement par la rue de Rochechouart).75009  Paris,,,,1
26,SAEMES LAGRANGE-MAUBERT,19 rue Lagrange.75005 Paris,4, Couvert  (1.85m) ,2,1
27,BAUDOYER,4 Place Baudoyer.75004 Paris,4, Couvert  (1.9m) ,4,1
28,CLARIDGE,60 Rue de Ponthieu.75008 Paris,,,,1
29,GARAGE DABBEVILLE,5 Rue dAbbeville.75010 Paris,,,,1
30,SAEMES MAUBERT COLLÈGE DES BERNARDINS,37 Boulevard St Germain.75005 Paris,4, Couvert  (1.85m) ,3,1
31,OFFICIEL EFFIA GARE DE LEST ALSACE P1,Rue du 8 mai 1945.75010 PARIS,,,,1
32,OFFICIEL EFFIA GARE DU NORD,4 rue de Compiègne.75010 PARIS,,,,1
33,HÔTEL RENAISSANCE PARIS RÉPUBLIQUE,40 rue René Boulanger.75010 Paris,,,,2
34,OFFICIEL EFFIA GARE DE L’EST SAINT-MARTIN P2,Cour du 11 Novembre 1918.75010 PARIS,,,,2
35,SAEMES ANVERS,41 boulevard Rochechouart.75009 Paris,,,,2
36,BLANCHE PIGALLE,7 rue Mansart.75009 Paris,4, Couvert  (2.2m) ,4,2
37,SAEMES  HOPITAL SAINT LOUIS,1 avenue Claude Vellefaux.75010 Paris,,,,2
38,HÔTEL IBIS PARIS GARE DU NORD CHÂTEAU-LANDON 10ÈME,197 Rue la Fayette.75010 Paris,,,,2
39,PARC SAINT-ANTOINE,16 Rue Saint-Antoine.75004 Paris,,,,2
